       name       |  count  
 NAZMI            |   22566
 INCI             |   22531
 MEDIHA           |   22325
 GULCIN           |   22306
 MUSLUM           |   22304
 SAMET            |   22282
 SEZGIN           |   22143
 ATILLA           |   22041
 ALIME            |   21915
 FEHMI            |   21829
 HALIS            |   21810
 ZOHRE            |   21711
 HAYRI            |   21605
 TARIK            |   21539
 FIRAT            |   21504
 TAMER            |   21483
 NEDIM            |   21361
 SUREYYA          |   21261
 DURDU            |   21171
 LUTFI            |   21169
 UMMUGULSUM       |   21135
 CAHIT            |   21129
 SEMIH            |   20898
 HANDAN           |   20683
 ESIN             |   20547
 RABIYE           |   20524
 TAYFUN           |   20487
 SABAHAT          |   20399
 OZGUL            |   20399
 RAHMI            |   20344
 ERTAN            |   20221
 SEFER            |   20080
 SADETTIN         |   20072
 NACI             |   20053
 SEBIHA           |   20016
 ERTUGRUL         |   19985
 BUNYAMIN         |   19919
 AYLIN            |   19916
 MUSERREF         |   19876
 NEZAKET          |   19586
 CEVAT            |   19578
 IBRAHIM HALIL    |   19577
 NAFIYE           |   19543
 LATIFE           |   19535
 EYYUP            |   19494
 HADICE           |   19493
 CEVRIYE          |   19475
 AYSEN            |   19459
 SEHRI            |   19427
 ESREF            |   19353
 GUNER            |   19321
 AKIF             |   19217
 FERDI            |   19189
 AYKUT            |   19113
 HAMDIYE          |   19093
 SULE             |   19024
 GULISTAN         |   18976
 GULSER           |   18884
 NAGIHAN          |   18874
 NAHIDE           |   18843
 GULNAZ           |   18807
 HAYATI           |   18728
 YURDAGUL         |   18627
 SEVCAN           |   18602
 UMRAN            |   18566
 VAHIDE           |   18509
 FIKRI            |   18500
 MUHAMMED         |   18379
 ILHAMI           |   18335
 SERCAN           |   18300
 SEZAI            |   18262
 FERIT            |   18257
 NESIBE           |   18250
 FETHIYE          |   18214
 ZULFIYE          |   18176
 ERDINC           |   18081
 ILKAY            |   18081
 SELVER           |   17988
 FEVZIYE          |   17969
 EMRULLAH         |   17851
 BELGIN           |   17708
 BEDIA            |   17694
 RAFET            |   17663
 NIZAMETTIN       |   17615
 NADIRE           |   17615
 MEHMET SALIH     |   17601
 SABAHATTIN       |   17420
 ADALET           |   17396
 OMER FARUK       |   17296
 NURULLAH         |   17291
 MAHIR            |   17235
 KEREM            |   17164
 MUNIRE           |   17107
 LEMAN            |   17031
 GULDEN           |   17030
 NEZIHA           |   16946
 NURHAYAT         |   16943
 SIRIN            |   16933
 CICEK            |   16931
 NUSRET           |   16869
 SEYHMUS          |   16838
 BERNA            |   16824
 AYGUL            |   16760
 CEYLAN           |   16757
 ELVAN            |   16692
 AKIN             |   16670
 ALAATTIN         |   16655
 ASIM             |   16648
 NALAN            |   16603
 SERDAL           |   16499
 CUMALI           |   16464
 FAIK             |   16421
 VEYSI            |   16415
 CANER            |   16369
 SEFA             |   16367
 NECMI            |   16341
