     name      |  count  |  id   
 SEYHAN        |   28992 | 57560
 ZEKERIYA      |   28944 | 57266
 MEVLUDE       |   28936 | 57179
 SABIHA        |   28514 | 57302
 DURAN         |   28475 | 57622
 GULIZAR       |   28235 | 58706
 ERGUN         |   28208 | 58317
 SERHAT        |   28158 | 58171
 KASIM         |   28135 | 58318
 MELTEM        |   28095 | 57376
 DEMET         |   28092 | 58048
 ALI OSMAN     |   28033 | 58618
 FIDAN         |   28022 | 58151
 DILBER        |   27972 | 57893
 BEYHAN        |   27789 | 57988
 GUL           |   27700 | 57984
 SENEM         |   27655 | 57371
 SINEM         |   27501 | 58037
 RESUL         |   27496 | 57818
 EDA           |   27484 | 58155
 ILKER         |   27460 | 58122
 NECMETTIN     |   27451 | 58852
 SERIF         |   27416 | 57559
 ONDER         |   27368 | 57713
 MUHITTIN      |   27314 | 57985
 DURDANE       |   27270 | 58066
 CEM           |   27187 | 57311
 OZGE          |   27155 | 57377
 SELAMI        |   27120 | 57415
 HIDAYET       |   27062 | 57551
 SEBAHATTIN    |   26846 | 57396
 YESIM         |   26761 | 57108
 YAHYA         |   26738 | 57497
 GULSAH        |   26703 | 58170
 MUKADDES      |   26628 | 58113
 SUHEYLA       |   26502 | 57952
 FATIME        |   26426 | 58510
 COSKUN        |   26337 | 57586
 SAKIR         |   26293 | 58744
 UMMUHAN       |   26256 | 58072
 NECDET        |   26244 | 57878
 SEREF         |   26137 | 57698
 SEVAL         |   26107 | 57700
 KEVSER        |   25992 | 57564
 HILMI         |   25637 | 57107
 SEVILAY       |   25583 | 57692
 HUSNIYE       |   25579 | 58350
 BEHIYE        |   25527 | 57091
 NAZIM         |   25510 | 57769
 MELIKE        |   25428 | 57703
 UMUT          |   25386 | 58351
 RIFAT         |   25380 | 57283
 GUNAY         |   25371 | 57662
 BIROL         |   25326 | 57486
 KERIM         |   25281 | 57535
 ASUMAN        |   25168 | 57479
 BAHATTIN      |   25166 | 58140
 ESME          |   25083 | 57806
 SIDIKA        |   25081 | 57721
 HUSNE         |   24913 | 58041
 KUDRET        |   24827 | 59146
 VESILE        |   24606 | 58563
 NAZAN         |   24556 | 57309
 IPEK          |   24464 | 58539
 SERAFETTIN    |   24213 | 57449
 RASIM         |   24190 | 58664
 NECMIYE       |   24189 | 57766
 KADER         |   24140 | 57447
 OGUZ          |   23919 | 58100
 NAZIRE        |   23917 | 57819
 MUAZZEZ       |   23886 | 58401
 ALI IHSAN     |   23830 | 57466
 NIGAR         |   23799 | 57684
 TEVFIK        |   23760 | 57183
 AZIME         |   23522 | 58119
 BAHRIYE       |   23439 | 57833
 FIRDEVS       |   23395 | 57439
 ULKU          |   23391 | 58104
 SEYFETTIN     |   23346 | 57992
 HUSNU         |   23310 | 58237
 HALISE        |   23291 | 57832
 ALPER         |   23106 | 57717
 SATILMIS      |   23094 | 58336
 SELIME        |   23072 | 58097
 GULDANE       |   23051 | 57533
 NURDAN        |   22995 | 57987
 CUNEYT        |   22980 | 57927
 OKAN          |   22943 | 58118
 TOLGA         |   22928 | 57304
 NAILE         |   22916 | 58755
 MUHSIN        |   22701 | 58801
 VILDAN        |   22690 | 57566
 BAHRI         |   22665 | 57247
 NAZMI         |   22566 | 58260
 INCI          |   22531 | 57572
 MEDIHA        |   22325 | 57802
 GULCIN        |   22306 | 58004
 MUSLUM        |   22304 | 58448
 SAMET         |   22282 | 57073
 SEZGIN        |   22143 | 57338
 ATILLA        |   22041 | 57824
 ALIME         |   21915 | 57753
 FEHMI         |   21829 | 57386
 HALIS         |   21810 | 58791
 ZOHRE         |   21711 | 57097
 HAYRI         |   21605 | 57588
 TARIK         |   21539 | 57886
 FIRAT         |   21504 | 58368
 TAMER         |   21483 | 57501
 NEDIM         |   21361 | 57898
 SUREYYA       |   21261 | 57443
 DURDU         |   21171 | 58239
 LUTFI         |   21169 | 57496
 UMMUGULSUM    |   21135 | 59085
 CAHIT         |   21129 | 57730
